parc,type,modele,immat,km,tauxsante,statut,annee,boite,moteur,portes,girouette,clim,pmr,ct
2007,TCP - Autobus articulé,HEULIEZ GX 437 H,ED-506-QY,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2008,TCP - Autobus articulé,HEULIEZ GX 437 H,ED-662-QY,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2009,TCP - Autobus articulé,HEULIEZ GX 437 H,ED-801-QY,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
3000,TCP - Autobus Standard,HEULIEZ GX 337 H,EC-740-TQ,0,100,Actif,2016,Automatique,Hybride,2,Oui,Oui,Oui,
3001,TCP - Autobus Standard,MAN LION'S CITY S,FW-006-DP,0,100,Actif,2020,Automatique,Hybride,2,Oui,Oui,Oui,
3002,TCP - Autobus Standard,MAN LION'S CITY S,FW-096-DP,0,100,Actif,2020,Automatique,Hybride,2,Oui,Oui,Oui,
3003,TCP - Autobus Standard,MAN LION'S CITY S,FW-154-DP,0,100,Actif,2020,Automatique,Hybride,2,Oui,Oui,Oui,
3004,TCP - Autobus Standard,MAN LION'S CITY S,FW-235-DP,0,100,Actif,2020,Automatique,Hybride,2,Oui,Oui,Oui,
365,TCP - Autobus Standard,MAN LION'S CITY S,CL 083 AP,0,100,Actif,2008,Automatique,Diesel,2,Oui,Non,Oui,
366,TCP - Autobus Standard,MAN LION'S CITY S,CP 508 WN,0,100,Actif,2008,Automatique,Diesel,2,Oui,Non,Oui,
492,TCP - Autobus articulé,MERCEDES CITARO A,AX-094-QR,0,100,Actif,2005,Automatique,Diesel,3,Oui,Oui,Oui,
495,TCP - Autobus articulé,MERCEDES CITARO A,BA-226-VG,0,100,Actif,2005,Automatique,Diesel,3,Oui,Oui,Oui,
